geo_id,day,cumulative_number_for_14_days_of_covid_19_cases_per_100000
ag,20200427,3.08912115
ag,20200428,1.02970705
ag,20200429,1.02970705
ag,20200430,1.02970705
ag,20200501,1.02970705
ag,20200502,2.0594141
ag,20200503,2.0594141
ag,20200504,2.0594141
ag,20200505,2.0594141
ag,20200506,1.02970705
ag,20200507,1.02970705
ag,20200508,1.02970705
ag,20200509,1.02970705
ag,20200510,1.02970705
ag,20200511,1.02970705
ag,20200512,1.02970705
ag,20200513,1.02970705
ag,20200514,1.02970705
ag,20200515,1.02970705
ag,20200516,0
ag,20200517,0
ag,20200518,0
ag,20200519,0
ag,20200520,0
ag,20200521,0
ag,20200522,0
ag,20200523,0
ag,20200524,0
ag,20200525,0
ag,20200526,0
ag,20200527,0
ag,20200528,0
ag,20200529,0
ag,20200530,0
ag,20200531,0
ag,20200601,0
ag,20200602,0
ag,20200603,0
ag,20200604,1.02970705
ag,20200605,1.02970705
ag,20200606,1.02970705
ag,20200607,1.02970705
ag,20200608,1.02970705
ag,20200609,1.02970705
ag,20200610,1.02970705
ag,20200611,1.02970705
ag,20200612,1.02970705
ag,20200613,1.02970705
ag,20200614,1.02970705
ag,20200615,1.02970705
ag,20200616,1.02970705
ag,20200617,1.02970705
ag,20200618,0
ag,20200619,0
ag,20200620,0
ag,20200621,0
ag,20200622,0
ag,20200623,0
ag,20200624,0
ag,20200625,40.15857489
ag,20200626,40.15857489
ag,20200627,40.15857489
ag,20200628,40.15857489
ag,20200629,40.15857489
ag,20200630,41.18828193
ag,20200701,41.18828193
ag,20200702,41.18828193
ag,20200703,43.24769603
ag,20200704,43.24769603
ag,20200705,43.24769603
ag,20200706,43.24769603
ag,20200707,45.30711013
ag,20200708,45.30711013
ag,20200709,8.23765639
ag,20200710,8.23765639
ag,20200711,9.26736344
ag,20200712,9.26736344
ag,20200713,9.26736344
ag,20200714,8.23765639
ag,20200715,8.23765639
ag,20200716,8.23765639
ag,20200717,6.17824229
ag,20200718,8.23765639
ag,20200719,8.23765639
ag,20200720,8.23765639
ag,20200721,6.17824229
ag,20200722,6.17824229
ag,20200723,3.08912115
