geo_id,day,deaths_weekly
by,20200615,39
by,20200622,38
by,20200629,37
by,20200706,40
by,20200713,41
by,20200720,35
by,20200727,35
by,20200803,33
by,20200810,20
by,20200817,23
by,20200824,32
by,20200831,34
by,20200907,35
by,20200914,39
by,20200921,30
by,20200928,38
by,20201005,39
by,20201012,39
by,20201019,33
by,20201026,28
by,20201102,28
by,20201109,22
by,20201116,39
by,20201123,50
by,20201130,55
by,20201207,56
by,20201214,56
by,20201221,61
by,20201228,70
by,20210104,57
bz,20200330,0
bz,20200406,1
bz,20200413,1
bz,20200420,0
bz,20200427,0
bz,20200504,0
bz,20200511,0
bz,20200518,0
bz,20200525,0
bz,20200601,0
bz,20200608,0
bz,20200615,0
bz,20200622,0
bz,20200629,0
bz,20200706,0
bz,20200713,0
bz,20200720,0
bz,20200727,0
bz,20200803,0
bz,20200810,0
bz,20200817,1
bz,20200824,3
bz,20200831,7
bz,20200907,2
bz,20200914,4
bz,20200921,2
bz,20200928,3
bz,20201005,6
bz,20201012,5
bz,20201019,9
bz,20201026,6
bz,20201102,8
bz,20201109,12
bz,20201116,20
bz,20201123,26
bz,20201130,31
bz,20201207,26
bz,20201214,22
bz,20201221,29
bz,20201228,9
bz,20210104,17
ca,20200106,0
ca,20200113,0
ca,20200120,0
ca,20200127,0
ca,20200203,0
ca,20200210,0
ca,20200217,0
ca,20200224,0
ca,20200302,0
ca,20200309,0
ca,20200316,1
ca,20200323,19
ca,20200330,41
ca,20200406,219
ca,20200413,437
ca,20200420,863
ca,20200427,980
ca,20200504,1122
ca,20200511,1189
ca,20200518,911
ca,20200525,642
ca,20200601,871
ca,20200608,505
ca,20200615,346
ca,20200622,284
ca,20200629,92
ca,20200706,162
ca,20200713,99
ca,20200720,69
ca,20200727,38
ca,20200803,55
ca,20200810,36
ca,20200817,45
ca,20200824,47
ca,20200831,44
ca,20200907,28
ca,20200914,26
ca,20200921,46
ca,20200928,51
ca,20201005,213
ca,20201012,104
ca,20201019,175
ca,20201026,186
ca,20201102,233
ca,20201109,343
ca,20201116,431
ca,20201123,502
ca,20201130,577
ca,20201207,633
ca,20201214,766
ca,20201221,901
ca,20201228,632
ca,20210104,901
cd,20200316,0
cd,20200323,2
cd,20200330,6
cd,20200406,10
cd,20200413,2
cd,20200420,5
cd,20200427,3
cd,20200504,6
cd,20200511,7
cd,20200518,19
cd,20200525,7
cd,20200601,4
cd,20200608,14
cd,20200615,21
cd,20200622,24
cd,20200629,27
cd,20200706,24
cd,20200713,7
cd,20200720,5
cd,20200727,11
cd,20200803,10
cd,20200810,9
cd,20200817,16
cd,20200824,11
cd,20200831,7
cd,20200907,2
cd,20200914,5
cd,20200921,6
cd,20200928,0
cd,20201005,3
cd,20201012,2
cd,20201019,27
cd,20201026,2
cd,20201102,3
cd,20201109,8
cd,20201116,4
cd,20201123,8
cd,20201130,5
cd,20201207,11
cd,20201214,12
cd,20201221,210
cd,20201228,13
cd,20210104,20
cf,20200316,0
cf,20200323,0
cf,20200330,0
cf,20200406,0
cf,20200413,0
cf,20200420,0
cf,20200427,0
cf,20200504,0
cf,20200511,0
cf,20200518,0
cf,20200525,1
cf,20200601,1
cf,20200608,3
cf,20200615,2
cf,20200622,16
cf,20200629,22
cf,20200706,3
cf,20200713,5
cf,20200720,2
cf,20200727,4
cf,20200803,0
cf,20200810,1
cf,20200817,1
cf,20200824,0
cf,20200831,0
cf,20200907,1
cf,20200914,0
cf,20200921,0
cf,20200928,0
cf,20201005,0
cf,20201012,0
cf,20201019,0
cf,20201026,0
cf,20201102,0
cf,20201109,0
cf,20201116,1
