geo_id,day,notification_rate_per_100000_population_14_days
bo,20201214,21.96
bo,20201221,41.91
bo,20201228,66.82
bo,20210104,106.63
bq,20200406,
bq,20200413,11.55
bq,20200420,11.55
bq,20200427,11.55
bq,20200504,3.85
bq,20200511,0
bq,20200518,0
bq,20200525,3.85
bq,20200601,3.85
bq,20200608,0
bq,20200615,0
bq,20200622,0
bq,20200629,0
bq,20200706,0
bq,20200713,0
bq,20200720,11.55
bq,20200727,15.39
bq,20200803,3.85
bq,20200810,7.7
bq,20200817,7.7
bq,20200824,0
bq,20200831,7.7
bq,20200907,19.24
bq,20200914,42.34
bq,20200921,69.28
bq,20200928,227.07
bq,20201005,338.68
bq,20201012,242.47
bq,20201019,100.07
bq,20201026,7.7
bq,20201102,11.55
bq,20201109,15.39
bq,20201116,7.7
bq,20201123,26.94
bq,20201130,23.09
bq,20201207,11.55
bq,20201214,46.18
bq,20201221,57.73
bq,20201228,38.49
bq,20210104,238.62
br,20200106,
br,20200113,0
br,20200120,0
br,20200127,0
br,20200203,0
br,20200210,0
br,20200217,0
br,20200224,0
br,20200302,0.0
br,20200309,0.01
br,20200316,0.09
br,20200323,0.72
br,20200330,1.92
br,20200406,4.54
br,20200413,8.49
br,20200420,13.04
br,20200427,18.82
br,20200504,29.61
br,20200511,47.77
br,20200518,66.3
br,20200525,95.01
br,20200601,129.72
br,20200608,155.67
br,20200615,167.15
br,20200622,186.34
br,20200629,225.79
br,20200706,245.45
br,20200713,246.64
br,20200720,234.7
br,20200727,262.69
br,20200803,301.01
br,20200810,292.03
br,20200817,287.38
br,20200824,270.25
br,20200831,247.39
br,20200907,251.95
br,20200914,221.82
br,20200921,192.9
br,20200928,190.41
br,20201005,175.63
br,20201012,171.84
br,20201019,151.65
br,20201026,141.74
br,20201102,147.06
br,20201109,127.93
br,20201116,150.39
br,20201123,192.98
br,20201130,214.0
br,20201207,252.14
br,20201214,278.23
br,20201221,312.76
br,20201228,275.92
br,20210104,222.76
bs,20200316,
bs,20200323,1.03
bs,20200330,3.34
bs,20200406,6.42
bs,20200413,8.47
bs,20200420,7.96
bs,20200427,8.47
bs,20200504,5.91
bs,20200511,3.08
bs,20200518,3.34
bs,20200525,2.05
bs,20200601,1.54
bs,20200608,0.77
bs,20200615,0.26
bs,20200622,0.26
bs,20200629,0.26
bs,20200706,0
bs,20200713,1.8
bs,20200720,12.58
bs,20200727,59.31
bs,20200803,127.09
bs,20200810,142.75
bs,20200817,171.25
bs,20200824,222.6
bs,20200831,218.75
bs,20200907,200.52
bs,20200914,195.39
bs,20200921,211.56
bs,20200928,221.32
bs,20201005,266.76
bs,20201012,330.69
bs,20201019,332.23
bs,20201026,341.99
bs,20201102,259.57
bs,20201109,137.87
bs,20201116,121.19
bs,20201123,119.64
bs,20201130,79.59
bs,20201207,42.62
bs,20201214,45.7
bs,20201221,47.76
bs,20201228,41.08
bs,20210104,40.82
bt,20200323,
bt,20200330,0.52
bt,20200406,0.39
bt,20200413,0.13
bt,20200420,0
bt,20200427,0.26
bt,20200504,0.26
bt,20200511,0.26
bt,20200518,1.83
bt,20200525,2.36
bt,20200601,2.88
bt,20200608,4.19
bt,20200615,3.01
bt,20200622,1.18
bt,20200629,1.31
bt,20200706,1.57
bt,20200713,1.05
bt,20200720,1.18
bt,20200727,1.44
bt,20200803,1.83
bt,20200810,1.97
bt,20200817,4.98
