geo_id,day,cases
al,20200725,104
al,20200726,67
al,20200727,126
al,20200728,117
al,20200729,117
al,20200730,108
al,20200731,92
al,20200801,79
al,20200802,120
al,20200803,123
al,20200804,101
al,20200805,130
al,20200806,139
al,20200807,127
al,20200808,135
al,20200809,124
al,20200810,136
al,20200811,125
al,20200812,140
al,20200813,141
al,20200814,154
al,20200815,146
al,20200816,143
al,20200817,120
al,20200818,119
al,20200819,155
al,20200820,158
al,20200821,155
al,20200822,152
al,20200823,156
al,20200824,152
al,20200825,178
al,20200826,154
al,20200827,168
al,20200828,156
al,20200829,112
am,20191231,0
am,20200101,0
am,20200102,0
am,20200103,0
am,20200104,0
am,20200105,0
am,20200106,0
am,20200107,0
am,20200108,0
am,20200109,0
am,20200110,0
am,20200111,0
am,20200112,0
am,20200113,0
am,20200114,0
am,20200115,0
am,20200116,0
am,20200117,0
am,20200118,0
am,20200119,0
am,20200120,0
am,20200121,0
am,20200122,0
am,20200123,0
am,20200124,0
am,20200125,0
am,20200126,0
am,20200127,0
am,20200128,0
am,20200129,0
am,20200130,0
am,20200131,0
am,20200201,0
am,20200202,0
am,20200203,0
am,20200204,0
am,20200205,0
am,20200206,0
am,20200207,0
am,20200208,0
am,20200209,0
am,20200210,0
am,20200211,0
am,20200212,0
am,20200213,0
am,20200214,0
am,20200215,0
am,20200216,0
am,20200217,0
am,20200218,0
am,20200219,0
am,20200220,0
am,20200221,0
am,20200222,0
am,20200223,0
am,20200224,0
am,20200225,0
am,20200226,0
am,20200227,0
am,20200228,0
am,20200229,0
am,20200301,1
am,20200302,0
am,20200312,3
am,20200313,2
am,20200314,7
am,20200315,7
am,20200316,8
am,20200317,17
am,20200318,33
am,20200319,32
am,20200320,26
am,20200321,24
am,20200322,30
am,20200323,4
am,20200324,41
am,20200325,30
am,20200326,25
am,20200327,39
am,20200328,43
am,20200329,52
am,20200330,58
am,20200331,50
am,20200401,39
am,20200402,92
am,20200403,73
am,20200404,34
am,20200405,52
am,20200406,11
am,20200407,20
am,20200408,28
am,20200409,40
am,20200410,16
am,20200411,30
am,20200412,46
am,20200413,26
am,20200414,28
am,20200415,44
am,20200416,48
am,20200417,42
am,20200418,47
am,20200419,43
am,20200420,48
am,20200421,62
